I, [2019-02-19T16:42:03.144852 #71742]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-02-19T16:42:03.145368 #71742] ERROR -- Kitchen: ------Exception-------
E, [2019-02-19T16:42:03.145432 #71742] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-02-19T16:42:03.145459 #71742] ERROR -- Kitchen: Message: Kitchen YAML file /Users/nourmegahed/Desktop/Devops/chef/Learning Chef /opsworks_cookbooks/createdir-ec2/recipes/.kitchen.yml does not exist.
E, [2019-02-19T16:42:03.145483 #71742] ERROR -- Kitchen: ----------------------
E, [2019-02-19T16:42:03.145504 #71742] ERROR -- Kitchen: ------Backtrace-------
E, [2019-02-19T16:42:03.145525 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-02-19T16:42:03.145547 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-02-19T16:42:03.145568 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-02-19T16:42:03.145590 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-02-19T16:42:03.145611 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-02-19T16:42:03.145632 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-02-19T16:42:03.145677 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-02-19T16:42:03.145699 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-02-19T16:42:03.145720 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-02-19T16:42:03.145742 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-02-19T16:42:03.145763 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-02-19T16:42:03.145785 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-02-19T16:42:03.145806 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-02-19T16:42:03.145827 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-02-19T16:42:03.145849 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-02-19T16:42:03.145870 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-02-19T16:42:03.145892 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-02-19T16:42:03.145913 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-02-19T16:42:03.145934 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-02-19T16:42:03.145956 #71742] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-02-19T16:42:03.145977 #71742] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `load'
E, [2019-02-19T16:42:03.145998 #71742] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `<main>'
E, [2019-02-19T16:42:03.146018 #71742] ERROR -- Kitchen: ----End Backtrace-----
