I, [2019-02-15T17:25:08.608219 #87865]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-02-15T17:25:08.610861 #87865] ERROR -- Kitchen: ------Exception-------
E, [2019-02-15T17:25:08.610948 #87865] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-02-15T17:25:08.611010 #87865] ERROR -- Kitchen: Message: Kitchen YAML file /Users/nourmegahed/Desktop/Devops/chef/Learning Chef /opsworks_cookbooks/installpkg/recipes/.kitchen.yml does not exist.
E, [2019-02-15T17:25:08.611106 #87865] ERROR -- Kitchen: ----------------------
E, [2019-02-15T17:25:08.611180 #87865] ERROR -- Kitchen: ------Backtrace-------
E, [2019-02-15T17:25:08.611225 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-02-15T17:25:08.611268 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-02-15T17:25:08.611309 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-02-15T17:25:08.611348 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-02-15T17:25:08.611388 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-02-15T17:25:08.611428 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-02-15T17:25:08.611467 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-02-15T17:25:08.611506 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-02-15T17:25:08.611545 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-02-15T17:25:08.611583 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-02-15T17:25:08.611637 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-02-15T17:25:08.611670 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-02-15T17:25:08.611701 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-02-15T17:25:08.611733 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-02-15T17:25:08.611765 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-02-15T17:25:08.611796 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-02-15T17:25:08.611831 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-02-15T17:25:08.611862 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-02-15T17:25:08.611893 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-02-15T17:25:08.611925 #87865] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-02-15T17:25:08.611956 #87865] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `load'
E, [2019-02-15T17:25:08.611986 #87865] ERROR -- Kitchen: /usr/local/bin/kitchen:306:in `<main>'
E, [2019-02-15T17:25:08.612016 #87865] ERROR -- Kitchen: ----End Backtrace-----
